AvgMonthVisits,AvgVisitDuration,BounceRate,Change,DesktopMobileShare,Domain,Favicon,HasAdsense,PagesPerVisit,Rank,Share,UniqueUsers
4142957.08094,129.923028428,0.605150899855,36.6481205063,"[0.444060231235, 0.555939768765]",webbyawards.com,https://site-images.similarcdn.com/image?url=webbyawards.com&t=2&s=0&h=36265c4a68f952b9db4989687322a12d088b7b6625047799707d432744de9ecb,False,5.11073691118,12310,0.349334236621,2689115.33203
3061994.21008,285.085757179,0.501614136447,-0.201819067032,"[0.135881228937, 0.864118771063]",shogakukan.co.jp,https://site-images.similarcdn.com/image?url=shogakukan.co.jp&t=2&s=0&h=e7ddc5e969a34c4f46e8f9c6dbe70a47bb6048864e7ad0653f1083dcd49a0f68,False,4.53756001076,17691,0.258187422419,1529387.56246
1889583.66824,123.15777628,0.686578516341,0.0404465695536,"[0.579221521431, 0.420778478569]",nobelprize.org,https://site-images.similarcdn.com/image?url=nobelprize.org&t=2&s=0&h=767b67a45e98e652360a2685b789418e31225a0919799d366eef45cd3e244b52,False,2.01102962658,39759,0.159329738489,1154980.84808
919798.668103,119.557764225,0.593147349988,3.46477413434,"[0.630823487546, 0.369176512454]",pulitzer.org,https://site-images.similarcdn.com/image?url=pulitzer.org&t=2&s=0&h=b1bf370b6a7accb6eaff22349a482b177a4ab61beedc7f3387baefc289c0b281,False,2.87220352517,62071,0.0775574449094,582974.717302
474206.948373,146.001636871,0.516411576856,0.184680679895,"[0.590725724549, 0.409274275451]",bafta.org,https://site-images.similarcdn.com/image?url=bafta.org&t=2&s=0&h=09fda26668d34d84591837e45fe05663a726a8b322e9fbcd17a22905b0f3ab75,False,4.10232497683,96198,0.0399851408244,251817.155382
434595.801988,139.179810323,0.606384766208,-0.754773859449,"[0.601323542127, 0.398676457873]",oscars.org,https://site-images.similarcdn.com/image?url=oscars.org&t=2&s=0&h=fc39f0b5673adb85c4980dd403de70209e977740631eacf5c5f1a0e3b85575b2,False,2.79551695169,123024,0.0366451280475,208947.630787
308180.872442,230.285258687,0.524151714675,-0.16392142946,"[0.597677785468, 0.402322214532]",redcarpet-fashionawards.com,https://site-images.similarcdn.com/image?url=redcarpet-fashionawards.com&t=2&s=0&h=cc12dc1d84ce2231cb3231aac7d01df4e2513f4908ebcffd300f2602fe4589c2,False,2.97963946762,165995,0.0259858182725,89421.6704948
76359.1264025,122.001059766,0.372305354239,0.00856582535822,"[0.272664252873, 0.727335747127]",telly.com,https://site-images.similarcdn.com/image?url=telly.com&t=2&s=0&h=836def4459a418525206f6bb1411964d4a0a0fca754bf7696a5562c768f94bc3,True,2.61922225866,562035,0.00643860329947,25484.5317284
75550.5319111,168.638268864,0.571031064619,0.893225563141,"[0.543103973754, 0.456896026246]",tonyawards.com,https://site-images.similarcdn.com/image?url=tonyawards.com&t=2&s=0&h=20e362b814a14993d9861d10bf0d9c25e737953b3adaf1186e68e36eefe62304,False,2.79690082606,506786,0.00637042259331,34066.7700141
62869.1715444,226.516592716,0.515139226975,0.307286312259,"[0.488201253739, 0.511798746261]",writersofthefuture.com,https://site-images.similarcdn.com/image?url=writersofthefuture.com&t=2&s=0&h=fbeac72d214a4a01c3bc7d402ebecf71d42c4b1a3de491c3827ccfdddda892d5,False,3.30132594654,569971,0.0053011299947,26265.1905065
